Name,Java,Scala
[Balanced Binary Tree](https://leetcode.com/problems/balanced-binary-tree),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/tree/recursive/BalancedBinaryTree.java),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-scala/blob/master/src/main/scala/tree/recursive/BalancedBinaryTree.scala)
[Binary Search](https://leetcode.com/problems/binary-search),[:arrow_right_hook:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/array/iterative/BinarySearch.java),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-scala/blob/master/src/main/scala/array/recursive/BinarySearch.scala)
[Coin Change](https://leetcode.com/problems/coin-change),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/array/recursive/CoinChange.java),
[Combination Sum](https://leetcode.com/problems/combination-sum),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/array/recursive/CombinationSum.java),
[Construct Binary Tree from Preorder and Inorder Traversal](https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/tree/recursive/ConstructBinaryTreeFromPreorderAndInorderTraversal.java),
[Container With Most Water](https://leetcode.com/problems/container-with-most-water),,[:arrows_counterclockwise:](https://github.com/leowajda/eureka-scala/blob/master/src/main/scala/array/recursive/ContainerWithMostWater.scala)
[Decode Ways](https://leetcode.com/problems/decode-ways),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/string/recursive/DecodeWays.java),
[Find All Anagrams in a String](https://leetcode.com/problems/find-all-anagrams-in-a-string),,[:arrows_counterclockwise:](https://github.com/leowajda/eureka-scala/blob/master/src/main/scala/string/recursive/FindAllAnagramsInAString.scala)
[Find First and Last Position of Element in Sorted Array](https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array),[:arrow_right_hook:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/array/iterative/FindFirstAndLastPositionOfElementInSortedArray.java),
[Find Minimum in Rotated Sorted Array](https://leetcode.com/problems/find-minimum-in-rotated-sorted-array),[:arrow_right_hook:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/array/iterative/FindMinimumInRotatedSortedArray.java),
[Find Smallest Letter Greater Than Target](https://leetcode.com/problems/find-smallest-letter-greater-than-target),[:arrow_right_hook:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/array/iterative/FindSmallestLetterGreaterThanTarget.java),
[Generate Parentheses](https://leetcode.com/problems/generate-parentheses),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/string/recursive/GenerateParentheses.java),
[Get the Maximum Score](https://leetcode.com/problems/get-the-maximum-score),[:arrow_right_hook:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/array/iterative/GetTheMaximumScore.java),
[Insert into a Binary Search Tree](https://leetcode.com/problems/insert-into-a-binary-search-tree),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/tree/recursive/InsertIntoABinarySearchTree.java),
[Invert Binary Tree](https://leetcode.com/problems/invert-binary-tree),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/tree/recursive/InvertBinaryTree.java),
[Letter Combinations of a Phone Number](https://leetcode.com/problems/letter-combinations-of-a-phone-number),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/string/recursive/LetterCombinationsOfAPhoneNumber.java),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-scala/blob/master/src/main/scala/string/recursive/LetterCombinationsOfAPhoneNumber.scala)
[Linked List Cycle](https://leetcode.com/problems/linked-list-cycle),[:arrow_right_hook:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/linked_list/iterative/LinkedListCycle.java),
[Longest Substring Without Repeating Characters](https://leetcode.com/problems/longest-substring-without-repeating-characters),,[:arrows_counterclockwise:](https://github.com/leowajda/eureka-scala/blob/master/src/main/scala/string/recursive/LongestSubstringWithoutRepeatingCharacters.scala)
